artist name,youtube website,follower count
bts,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,
1d,https://www.youtube.com/channel/UCb2HGwORFBo94DmRx4oLzow,
sebii,https://www.youtube.com/channel/UCIdCSVNtZ8dgXgaIW4lQNow,
nicki,https://www.youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg,
me,https://www.youtube.com/channel/UCCydFKbSAoBlgrLnrYcaFrg,
khan,https://www.youtube.com/c/khanacademy,
cody ko,https://www.youtube.com/c/CodyKo,
enya,https://www.youtube.com/c/enjajaja,
igirl,https://www.youtube.com/c/INTERNETGIRL,
