artist name,youtube website,follower counts
exo,,
bts,https://www.tiktok.com/@bts_official_bighit,51000000
lady gaga,,
1d fan,https://www.tiktok.com/@onedrectionfann23,19700
sebii,https://www.tiktok.com/@sebseb122_,36600
coin,,
nicki,https://www.tiktok.com/@nickiminaj,16200000
me,https://www.tiktok.com/@ballonlegs,20
weeknd,,
