artist name,youtube website,follower counts
bts,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,68300000
1d,https://www.youtube.com/channel/UCb2HGwORFBo94DmRx4oLzow,37200000
sebii,https://www.youtube.com/channel/UCIdCSVNtZ8dgXgaIW4lQNow,6110
nicki,https://www.youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg,24400000
me,https://www.youtube.com/channel/UCCydFKbSAoBlgrLnrYcaFrg,148
khan,https://www.youtube.com/c/khanacademy,7310000
cody ko,https://www.youtube.com/c/CodyKo,5880000
enya,https://www.youtube.com/c/enjajaja,1000000
igirl,https://www.youtube.com/c/INTERNETGIRL,137000
